primarySlug,restaurant_id,name,address,city,supportsDelivery,supportsPickup,paymentMethods,ratings,ratingsNumber,deliveryScoober,durationRangeMin,durationRangeMax,deliveryFee,minOrder,longitude,latitude
snack-gold-vilvoorde,NP7NN5R,Snack Gold,Franklin Rooseveltlaan 115,Vilvoorde,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,498,0,15,40,0.0,20.0,4.4264047,50.9302208
leelavadee-thai-restaurant,NPPR0Q5,Leelavadee Thai Restaurant,Aarschotsestraat 123,Vilvoorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.2,895,0,45,70,2.5,10.0,4.4574387,50.9262595
snack-ots,NQQQ3P7,Snack Ot's,Rue Van Oost 67,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.5,13,1,45,55,3.84,15.0,4.375243,50.8709745
snack-emes,NRO1QPR,Snack Pizzeria Izmir,Grote Markt 32,Vilvoorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.9,498,0,20,30,0.0,20.0,4.4225308,50.9287575
oresto,NROQ0RO,O'Resto,Boulevard Baudouin 16,Bruxelles,1,1,"['bancontact', 'paypal', 'creditcard']",4.1,1567,0,40,65,0.0,40.0,4.3517865,50.8574956
brasserie-du-tennis-woluwe,O000QPN1,Brasserie du Tennis,Avenue des Communautés 12,Woluwe Saint-Lambert,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,219,0,35,60,5.0,50.0,4.4241163,50.8585451
cest-bonbon-dockx,O01NO0QN,C'est Bonbon,Boulevard Lambermont 1,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,3.84,15.0,4.3729577,50.8788106
cosy-pasta-docks,O051Q1PN,Cosy Pasta,Quai des Usines 158,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.1,9,1,50,60,2.99,12.0,4.3737335,50.8801929
palashop,O0PNR501,Palashop,Chaussee de haecht 370,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.9,17,1,50,60,5.59,18.0,4.3752147,50.866158
pizza-viaaa,O1P75Q5,Pizza Viaaa,Frederik Puelincxstraat 1,Machelen,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.8,2114,0,20,45,2.99,20.0,4.4482023,50.9184652
snack-choco-pitta,O1R35NN1,Choco Pitta,Rue Masui 80,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.9,38,1,35,45,5.59,18.0,4.3582998,50.8669031
brooklyn-food,O305RN01,Brooklyn Food,Rue de Wand 45,Laeken,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,0,30,40,0.0,0.0,4.358452,50.8967821
snack-bodrum-vilvoorde,O33PN7PN,Snack Bodrum,Lange Molenstraat 9,Vilvoorde,1,1,"['bancontact', 'paypal', 'creditcard']",4.9,154,0,20,45,0.0,20.0,4.4218529,50.9285905
grille-darna,O37QO0QN,Grillé Darna,Van Ooststraat 6,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.9,9,1,50,60,3.84,15.0,4.3722995,50.8701862
tayba,O3NNPQ5,Tayba,Avenue Princesse Elisabeth 135,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.4,30,1,50,60,3.84,15.0,4.3783777,50.8761536
snack-altan,O3OO7011,Snack Altan,Chaussée d'Anvers 335,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.3,103,1,45,55,5.59,18.0,4.3589807,50.8672003
wakame-sushi-bar,O3P7335N,WaKame Sushi Bar,Grote Markt 29,Vilvoorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.1,167,0,50,75,2.0,25.0,4.4223525,50.9286833
dominos-pizza-laeken-1,O3Q3R501,Domino's Pizza,Rue de wand 253,Laeken,0,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",3.6,422,0,20,45,0.0,0.0,4.3607889,50.900735
dunkin-docks,O3RQ1PPN,Dunkin' Donuts,Boulevard Lambermont 1,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.5,8,1,55,65,3.84,15.0,4.3730967,50.8793322
maki-maki-schaerbeek,O531QP7N,Maki Maki,Chaussée de Helmet 241,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.1,115,1,50,60,5.59,18.0,4.3865286,50.8733825
ctr-chicken-helmet-bruxelles,O575Q0QN,CTR Chicken,Chaussée de Helmet 218,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.6,8,1,45,55,5.59,18.0,4.387156,50.873394
youwok-docks,O5NQONPN,YouWok,Boulevard Lambermont 1,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.4,31,1,55,65,3.84,15.0,4.3730967,50.8793322
slagerij-halal-digem,O5P0517N,Slagerij Halal Digem,Kerktorenstraat 6,Diegem,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,5,0,20,30,0.0,60.0,4.4345651,50.8946005
burger-zone,O5QP155N,Burger Zone,Alfons de Cockplein 29,Diegem,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.4,481,0,35,60,2.0,40.0,4.4364457,50.8954006
frituur-koningslo,O70531QN,Frituur Koningslo,Streekbaan 186,Vilvoorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.3,92,0,20,45,2.0,15.0,4.372477,50.912605
pam-pam-schaerbeek,O71Q0ON1,Pam Pam,Rue Richard Vandevelde 54,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.5,220,1,50,60,5.59,18.0,4.3889981,50.8728995
le-brusilia,O7N70001,Le Brusilia,Avenue Louis Bertrand 127,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.1,117,1,60,70,5.59,18.0,4.3796413,50.8632039
thai-gourmet-1,ON037RPN,Thai Gourmet,Chaussée de Gand 163A,Molenbeek,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.6,863,0,65,90,0.0,50.0,4.3345996,50.8565813
time-to-eat-vilvoorde,ON051P7N,Time To eat,Leuvensestraat 82,Vilvorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.9,61,0,35,60,0.0,20.0,4.4282839,50.9276946
dominos-pizza-vilvoorde-1,ON3ROQR,Domino's Pizza,Grote Markt 17,Vilvorde,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.1,737,0,65,90,1.5,12.0,4.4237182,50.9287048
snack-istanbul-1030,ONPOQ0N1,Snack Istanbul,Rue Ernest Laude 40,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.2,362,1,50,60,5.59,18.0,4.3775992,50.866702
pizzeria-di-mamma,ONQN5N01,Pizzeria Di Mamma,Chaussée de Haecht 1147,Evere,0,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",3.7,507,0,30,55,0.0,30.0,4.4090252,50.8776577
la-min-dor,OO305O5N,La Mi'n d'Or,Rue des Ailes 35,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,5.59,18.0,4.3756667,50.8680799
snack-taksim-bruxelles,OO50NRN1,Snack Taksim,Chaussée de Haecht 410,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.2,253,1,45,55,5.59,18.0,4.3761611,50.8669161
pizza-vera,OO5O1,Pizza Vera,Nowélei 60,Vilvorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.6,3349,0,30,55,0.0,12.0,4.427416,50.9297842
snack-joker,OO5R5RR,Snack Joker,Avenue Louis Bertrand 75,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.3,11,1,50,60,5.59,18.0,4.3774531,50.8634042
royal-pizza-bruxelles-centre,OORON031,Royale Pizza,Chaussée d'Anvers 230,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.1,69,1,40,50,5.59,18.0,4.3580412,50.8659736
bubble-waffle-delicias,OORRQ0PN,Bubble Waffle Delicias,Boulevard Lambermont 1,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,3.84,15.0,4.3730967,50.8793322
lottoman,OP537701,Snack Cassaba,Chaussée de Haecht 1085,Evere,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,19,1,45,55,5.59,18.0,4.4066588,50.8765373
snack-des-freres,OPO1PPN1,Snack Des Frères,Rue Nestor de Tière 68,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.3,71,1,45,55,5.59,18.0,4.3839557,50.8714998
brunch-corner-bruxelles,OPQ03P7N,Brunch Corner,Avenue Louis Bertrand 52,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.4,10,1,35,45,5.59,18.0,4.3768003,50.8638607
frituur-4-you,OPQ57Q01,Frituur 4 You,Schaarbeeklei 192B,Vilvorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,220,0,20,45,0.0,20.0,4.4262444,50.9202922
pizza-clara,OPQQN101,Pizza Clara,Dorpsplein 3,Machelen,1,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.4,572,0,30,55,3.0,20.0,4.4358446,50.9130364
the-pizza-maker-molenbeek-saint-jean,OQ7P07R1,The Pizza Maker,Boulevard Leopold II 85,Molenbeek-Saint-Jean,1,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",4.3,1649,0,30,55,0.0,30.0,4.3411116,50.8604794
jbsushibarwok,OR10QRPN,JB Sushi Bar & Wok,Avenue Docteur Dejase 2,Schaarbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.3,20,1,50,60,5.59,18.0,4.3893661,50.8697929
hawaiian-poke-bowl-docks,ORN3NQPN,Hawaiian poké Bowl,Lambermontlaan 1,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,64,1,50,60,3.84,15.0,4.3729577,50.8788106
mia-pizza-2,ORNNQRPN,Mia Pizza Evere,Avenue Henri Conscience 88,Evere,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.0,263,0,30,55,5.0,50.0,4.3994694,50.8684516
sensei-sushi-bruxelles,OROQN3N1,Sensei Sushi Bruxelles,Quai bois à brûler 3A,Bruxelles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",4.0,1195,0,40,65,0.0,45.0,4.348928,50.8513679
nuba,ORP30PPN,Nuba,Rue des Palais 160,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.9,15,1,55,65,5.59,18.0,4.3661949,50.8650959
royal-pizza-1030,ORR0R0PN,Royal Pizza,Rue François Joseph Navez 11,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.4,60,1,50,60,3.84,15.0,4.3721783,50.8703941
mimosa-cafe-sandwicherie,P3O17P,Mimosa Cafe Sandwicherie,Rue Gallait 8,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.1,84,1,40,50,5.59,18.0,4.3671509,50.8649534
bbq-chikn,Q0QO33O,BBQ Chik'n,place Liedts 18,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,1042,1,50,60,5.59,18.0,4.3664865,50.8643774
tenshi-sushi-docks,Q1P1N15,Tenshi Sushi,Lambermontlaan 1,Bruxelles,1,1,"['bancontact', 'paypal', 'creditcard']",3.9,370,0,10,20,0.0,50.0,4.3758685,50.8795835
tekince-tantuni,Q3555N5,Tekince Tantuni,place Liedts 1,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,407,1,35,45,5.59,18.0,4.3670302,50.8641523
kamiisushi,QN3O133,Kamii Sushi,Koepoortstraat 1,Vilvorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.2,725,0,45,70,0.0,30.0,4.4273094,50.9259306
new-delice,R1NR7OQN,New Délice,Vlaanderenstraat 66,Vilvoorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.1,13,0,30,55,3.0,40.0,4.4221315,50.929419
qebaptore-drini,R303OOQN,Qebaptore Drini,Rue Ernest Laude 35,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,5.59,18.0,4.3777031,50.8664689
cheesecake-new-yorkais,R5NO3PQN,Cheesecake New-Yorkais,Steenweg Buda 58,Malines,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",0.0,0,0,15,25,4.99,25.0,4.4280062,50.9024083
hoshi-hoshi-express,R5NQN3QN,Hoshi Hoshi express,Mechelsestraat 51,Vilvorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.6,26,0,30,55,0.0,30.0,4.4228182,50.9310515
snack-bruxelles,R5O7R1QN,Snack Bruxelles,Avenue Maréchal Foch 20,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,5.59,18.0,4.374455,50.8686346
akym-food,R70N1OQN,Akym Food,Avenue Princesse Elizabeth 174,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,50,60,3.84,15.0,4.3792967,50.8769268
gong-cha,R7310PQN,Gong Cha,Boulevard Lambermont 1,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,3.84,15.0,4.3729577,50.8788106
louis-keuken,RN155OQN,L'Atelier Meat30,Avenue Louis Bertrand 51,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.8,11,1,40,50,5.59,18.0,4.3761553,50.8634351
candy-king,RNNN0NQN,Candy King,Rue Richard Vandevelde 88,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,45,55,5.59,18.0,4.3908954,50.87229
snack-grill-pizza-asalam,RP3P0NQN,Snack Grill Pizza Asalam,Toekomststraat 58,Vilvorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.8,79,0,20,45,2.5,15.0,4.4278192,50.9294474
sandwicherie-bolo-1030,RP3P1OQN,Sandwicherie Bolo,Chaussée de Helmet 54,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,60,70,5.59,18.0,4.3820186,50.8699793
prestige-restaurant,RPOP5NQN,Prestige Restaurant,Chaussée de Haecht 374,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.3,4,1,45,55,5.59,18.0,4.3753153,50.866173
la-bagatelle-de-lou,RPRQO5QN,La Bagatelle De Lou,Vlaanderenstraat 63 A,Vilvorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'creditcardAtHome']",3.3,4,0,25,50,4.0,25.0,4.4202845,50.9283554
king-pizza-vilvoorde-3,RQO5NOQN,King Pizza Vilvoorde,Jean Baptiste Nowelei 44,Vilvoorde,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.2,120,0,30,55,0.0,9.0,4.4269543,50.929214
fast-4-you,RR0POOQN,Fast 4 You,Rue Josaphat 288,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",5.0,6,1,45,55,5.59,18.0,4.376435,50.862408
dominos-pizza-hoogstraten,337QPR7N,Domino's Pizza,Heilig Bloedlaan 299,Hoogstraten,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.5,39,0,35,60,0.0,12.0,4.7584741,51.3963023
steakhouse-mama,0O773N31,Steakhouse Mamma,Nieuwstraat 5,Baarle-Nassau,1,1,"['bancontact', 'paypal', 'creditcard']",4.1,32,0,80,100,2.5,10.0,4.9296567,51.4430011
den-tweeling,R1QON5QN,Den Tweeling,Dreef 73,Hoogstraten-Meerle,1,1,"['bancontact', 'paypal', 'creditcard']",3.8,6,0,25,50,2.5,15.0,4.7768703,51.5000625
petzaria-vlam,0N31R37N,Pizzaria Vlam II,Grote baan 9,Ravels,1,1,"['bancontact', 'paypal', 'creditcard']",4.6,52,0,80,100,0.0,0.0,4.9941559,51.3706301
zuiders-eethuis,NN0OR7R,Frituur chef Bruno,Weeldestraat 101,Weelde,1,1,"['bancontact', 'paypal', 'creditcard']",4.5,11,0,30,55,5.0,15.0,5.015324,51.4130693
pizza-grens-antwerpen,O0ORO111,Pizza Grens,Chaamseweg 24-1,Baarle-Hertog,1,1,"['bancontact', 'paypal', 'creditcard']",3.8,55,0,65,90,3.0,30.0,4.9250641,51.4447886
sushipoint,R0OQPNQN,Sushi Point,Nieuwe Markt 98-100,Roosendaal,1,1,"['bancontact', 'paypal', 'creditcard']",4.9,15,0,35,60,4.0,15.0,4.4589952,51.5308746
isis-1,30NQ7P1,Isis,Steenovenstraat 1,Essen,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.9,1814,0,25,50,3.5,15.0,4.4618152,51.4281673
frituur-mikeys-place,N507N3Q,Frituur Mikey's Place,Kapellensteenweg 248,Kalmthout,1,1,"['bancontact', 'paypal', 'creditcard']",4.1,610,0,40,65,6.0,20.0,4.4745592,51.3787817
aly-baba,N7P7NPR,Aly Baba,Nieuwstraat 47,Essen,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.2,623,0,20,45,4.0,30.0,4.4682463,51.4678223
pittaverne,NP315R7,Pittaverne,Kapelstraat 1,Essen,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.2,473,0,30,55,4.0,12.5,4.4725981,51.4644444
adel-eethuis,NPPPN0Q,Adel Eethuis,Kapellensteenweg 252,Kalmthout,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.1,336,0,55,80,4.0,10.0,4.4745592,51.3787817
toscana-kalmthout,NQ1PRR7,Toscana,Dorpstraat 20,Kalmthout,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.0,171,0,25,50,4.0,20.0,4.4744492,51.3947447
venezia-2910,O1PO3N7,Venezia,Stationsstraat 157,Essen,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.3,480,0,20,45,5.0,50.0,4.45796,51.46431
chezveke,0Q70P55N,Chez Ve'ke,Dublinstraat 2,Antwerpen,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.8,74,0,20,45,2.0,20.0,4.4260831,51.2580809
amon-brasschaat-1,0R003Q5N,Amon,Augustijnslei 95,Brasschaat,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.7,522,0,25,50,0.0,0.0,4.4892408,51.2950518
aroy-brasschaat,O00ONQN1,Aroy,Bredabaan 304,Brasschaat,1,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",4.6,571,0,25,50,5.0,40.0,4.4930549,51.2913672
farao,O1350PPN,Farao Brasschaat,Leopoldslei 5,Brasschaat,0,1,"['bancontact', 'paypal', 'creditcard']",4.0,154,0,10,20,0.0,0.0,4.4876643,51.2885629
dominos-pizza-6,ON77RR01,Domino's Pizza,Bredabaan 242,Brasschaat,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.4,440,0,20,30,0.0,0.0,4.4903523,51.2897075
lucy-chang-brasschaat,P7071,Lucy Chang,Bredabaan 131,Brasschaat,0,1,"['bancontact', 'paypal', 'creditcard']",3.5,273,0,40,65,0.0,0.0,4.4835323,51.2850325
sky-way-schoten,R3700OQN,Sky Way,Paalstraat 82,Schoten,1,1,"['bancontact', 'paypal', 'creditcard']",4.1,42,0,30,55,0.0,25.0,4.5018115,51.25269
pizza-regina,N3QRO37,Pizza Regina,Rue Royale 113,Tournai,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.9,1341,0,65,90,5.0,70.0,3.3947546,50.6110987
fuji-estaimpuis,OQPRQNPN,Fuji,Chaussee de Dottignies 46,Estaimpuis,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.7,135,0,60,85,5.0,35.0,3.2498325,50.7137927
pizzeria-da-antonio-nieuwerkerken,N53RP05,Pizzeria Da Antonio,Diestersteenweg 148,Nieuwerkerken,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.6,109,0,10,20,0.0,12.5,5.1886368,50.8648608
global-village,05O5PR5N,Global Village,Lozenberg 1,Zaventem,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.0,352,0,50,75,0.0,25.0,4.4633567,50.8703011
so-sushi-kraainem,RQ5RQ5QN,So Sushi Kraainem,Avenue des Anciens Combattants 87,Kraainem,0,1,"['bancontact', 'paypal', 'creditcard']",4.0,8,0,30,55,4.0,25.0,4.4568188,50.8649545
naroj,37ORPP1,Naroj,Gemeentestraat 65,Linden (Lubbeek),1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.8,397,0,25,50,2.0,30.0,4.7740197,50.8932578
pizza-hut-delivery-kessel-lo,NP5PR7O,Pizza Hut Delivery,Baron August De Becker Remyplein 37,Kessel-Lo,1,0,"['bancontact', 'paypal', 'creditcard']",3.9,333,0,35,60,1.99,15.0,4.718981,50.8858479
pizzeria-da-mario-jodoigne,0QN13O7N,Pizzeria da Mario,Rue du Bosquet 13,Jodoigne,1,1,"['bancontact', 'paypal', 'creditcard']",4.1,105,0,30,55,3.0,32.0,0.0,0.0
daily-burger-jodoigne,35113Q7N,Daily Burger Jodoigne,Chaussée de Tirlemont 17,Jodoigne,1,0,"['bancontact', 'paypal', 'creditcard']",4.8,70,0,40,65,7.99,34.99,4.872139,50.725407
twins-1,N15035N,Twins,Gemeenteplein 10,Hoegaarden,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.3,780,0,30,55,0.0,20.0,4.886823,50.7738295
royal-donuts-bagels-maasmechelen,0307P131,Royal Donuts & Bagels,Pauwengraaf 5,Maasmechelen,1,1,"['bancontact', 'paypal', 'creditcard']",5.0,94,0,20,45,4.0,20.0,5.6981179,50.988366
sushi-dushi-more,03N3O37N,Sushi Dushi & More,Oude Baan 54,Maasmechelen,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.5,107,0,20,45,4.0,20.0,0.0,0.0
quetacos,07NRP37N,QueTacos,Europaplein 32,Maasmechelen,0,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'creditcardAtHome', 'bancontactAtHome']",5.0,157,0,20,45,2.5,25.0,5.6888497,50.9887932
dominos-pizza-maasmechelen,0R11737N,Domino's Pizza,Dokter Houbenlaan 3,Maasmechelen,1,1,"['bancontact', 'paypal', 'creditcard']",4.6,178,0,45,70,0.0,30.0,5.6962871,50.9638474
wonder-waffel,3Q03RO7N,Wonder Waffel,Koudenbergstraat 2A,Maasmechelen,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,15,0,30,55,3.0,25.0,5.6981058,50.9877542
il-patatino,5O55P53,Il Patatino,Oude Baan 2,Eisden,1,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.7,1231,0,20,45,5.0,10.0,5.694399,50.9893336
bij-hasan,N3ONNQR,Eethuis Bij Hakan,Rijksweg 435,Dilsen-Stokkem,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.3,29,0,30,55,2.5,25.0,5.729146,51.0347288
eethuis-milas,O30N1131,Eethuis Milas,Pauwengraaf 74,Maasmechelen,1,1,"['bancontact', 'paypal', 'creditcard']",3.9,202,0,30,55,3.5,20.0,5.6937437,50.9886636
sultana-kebap,QNRN3QO,Sushi For You,Rachels 14,Dilsen-Stokkem,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.0,177,0,40,65,0.0,25.0,5.7259393,51.0025651
tasty-hong-kong,R3P1QNQN,Tasty Hong Kong,Rijksweg 203,Maasmechelen,0,1,"['bancontact', 'paypal', 'creditcard']",4.0,59,0,30,55,0.0,55.0,5.701791,50.97906
wok2go-maasmechelen,R735PNQN,Wok2go,Pauwengraaf 36,Maasmechelen,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.4,77,0,30,55,0.0,40.0,5.695727,50.988697
pizza-hut-delivery-wevelgem,N75N7RO,Pizza Hut Delivery,Menenstraat 21,Wevelgem,1,0,"['bancontact', 'paypal', 'creditcard']",3.5,327,0,30,55,1.99,15.0,3.1783839,50.807617
pizza-narula,NR771N5,Pizza Narula,Sint-Medardusstraat 9,Wervik,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,428,0,35,60,2.0,15.0,3.0415693,50.7774199
konak-pizzeria-doner-kebab,51P15R3,Konak Pizzeria Doner Kebab,Australiëstraat 1,Ittervoort,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",2.8,84,0,10,20,4.0,10.0,5.8374658,51.1763368
magic-kebap-kessenich,O377Q7N1,Magic Kebap-Kessenich,Venlosesteenweg 363/1,Kinrooi,1,0,"['bancontact', 'paypal', 'creditcard']",4.4,13,0,10,20,5.0,30.0,5.8106697,51.1522604
trend-kebab-pizzeria,OO3503PN,Trend Kebab & Pizzeria,Marktstraat 1,Maaseik,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",5.0,165,0,20,45,3.5,20.0,5.7923279,51.0940817
dominos-pizza-maaseik,OR0O707N,Domino's Pizza Maaseik,Kolonel Aertsplein 17,Maaseik,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.5,51,0,20,45,0.0,100.0,5.7869097,51.0958342
my-way-oostende,01RO70N1,My Way,Derbylaan 2A,Oostende,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.5,1112,0,40,65,5.0,50.0,2.883953,51.2131098
frietstop-bij-willy,37O5RN7N,Frietstop bij Willy,Chrysantenstraat 1,Oostende,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,12,1,40,50,4.99,18.0,2.9144936,51.2117387
hongerig-beertje-oostende,3Q3R377N,Hongerig Beertje,Oudenburgsesteenweg 31,Oostende,0,1,"['bancontact', 'paypal', 'creditcard']",4.6,3,1,45,55,4.99,18.0,2.9564345,51.2192906
de-avondstop,511PQ03,Pizzeria de Avondstar,Zandvoordedorpstraat 74,Oostende,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.1,433,0,40,65,2.0,25.0,2.9777896,51.1993075
solomio-oostende,NQ0ON05,Solomio,Visserskaai 48-49,Oostende,1,1,"['bancontact', 'paypal', 'creditcard']",3.7,84,0,65,90,0.0,20.0,2.9211258,51.2343666
yam-yam-bredene,O15000PN,Yam Yam,Duinenstraat 355,Bredene,1,1,"['bancontact', 'paypal', 'creditcard']",4.5,516,0,35,60,5.0,45.0,2.9619869,51.2472135
himalayan-oostende,O357Q7PN,Himalayan Restaurant,Torhoutsesteenweg 424,Oostende,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.4,531,0,20,45,0.0,45.0,2.9058154,51.2113343
palomino,O771135N,Palomino,Van Iseghemlaan 38,Oostende,1,1,"['bancontact', 'paypal', 'creditcard']",3.6,223,0,35,60,0.0,20.0,2.9162868,51.2335599
posh-kebab,ON1N037N,Posh Kebab,Nieuwstraat 18,Oostende,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.2,383,0,40,65,5.0,15.0,2.9214644,51.2334662
best-kebab-oostende,OONOQ17,Best Kebab,Langestraat Europa Galerij 19,Oostende,1,1,"['bancontact', 'paypal', 'creditcard']",3.3,62,0,30,55,5.0,30.0,2.9159456,51.232577
frituur-de-combi,OP3Q0P7N,Frituur de Combi,Mariakerkelaan 68,Oostende,0,1,"['bancontact', 'paypal', 'creditcard']",4.7,51,1,45,55,4.99,18.0,2.9093346,51.2120239
frituur-t-patatje-oostende,OR1711QN,Frituur 't Patatje,Nieuwedokstraat 1,Oostende,0,1,"['bancontact', 'paypal', 'creditcard']",4.3,7,1,40,50,4.99,18.0,2.9356925,51.216785
food-box,OR57Q7PN,Food Box,Nieuwpoortsesteenweg 60,Oostende,1,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.4,185,0,20,45,4.99,30.0,2.9064047,51.2234184
